name,category,pcosTag,description
Avocado,Fruits,GOOD,"Healthy fats, low GI"
Spinach,Vegetable,GOOD,"Iron-rich, anti-inflammatory"
Methi (Fenugreek),Vegetable,GOOD,Hormonal balance support
Broccoli,Vegetable,GOOD,"High fiber, low GI"
Palak,Vegetable,GOOD,"Iron, antioxidants"
Tomato,Fruits,GOOD,Low GI
Carrot,Vegetable,GOOD,"Low-calorie, fiber rich"
Cucumber,Fruits,GOOD,Hydrating
Lauki,Vegetable,GOOD,Light and good for digestion
Karela,Vegetable,GOOD,Blood sugar control
Drumstick,Fruits,GOOD,Moringa benefits
Turmeric,Vegetable,GOOD,Anti-inflammatory
Flax Seeds,Fruits,GOOD,Hormone support
Chia Seeds,Fruits,GOOD,Omega-3
Almonds,Fruits,GOOD,Healthy fats
Walnuts,Fruits,GOOD,Anti-inflammatory
Moong Dal,Pulses,GOOD,Low GI
Chole(Chickpeas),Pulses,GOOD,High protein
Rajma,Pulses,GOOD,Fiber + protein
Masoor Dal,Pulses,GOOD,Iron
Brown Rice,Grain,GOOD,Low GI
Dalia,Grain,GOOD,High fiber
Oats,Grain,GOOD,Beta-glucan
Ragi,Grain,GOOD,Calcium rich
Jowar,Grain,GOOD,Gluten free
Bajra,Grain,GOOD,Good for winter
Paneer (Low Fat),Dairy Product,GOOD,High protein
Greek Yogurt,Dairy Product,GOOD,Gut health
Eggs,Indian Meal,GOOD,High protein
Chicken Breast,Indian Meal,GOOD,Lean protein
Fish (Rohu),Indian Meal,GOOD,Omega-3
Fish (Hilsa),Indian Meal,GOOD,Healthy fats
Baingan(Brinjal),Fruits,GOOD,High fiber
Tinda(inidan-roundgourd),Vegetable,GOOD,"High fiber, low GI"
Arbi(Colocasia),Vegetable,GOOD,Low GI
Gobi(CauliFlower),Vegetable,GOOD,High fiber
Matar(peas),Fruits,GOOD,High fiber
Shimla Mirch(Capsicum),Fruits,GOOD,High fiber
Kofta Balls,Indian Meal,GOOD,Low GI
Khichdi ,Grain,GOOD,"High fiber, low GI"
Poha,Indian Meal,LIMIT,High fiber if cooked properly
Upma,Indian Meal,GOOD,High fiber
